"Ticker","Nome","Negócios","Última (R$)","Variação"
"JHSF3","JHSF","1.765.700","5,27","+0,76%"
"EGIE3","Engie","1.710.300","48,82","+4,49%"
"AMER3","Americanas","1.697.500","5,40","+1,12%"
"ALOS3","Allos","1.637.100","22,65","+1,12%"
"PORT3","Wilson Sons","1.583.500","17,47","+0,29%"
"TOTS3","Totvs","1.568.000","42,80","+2,39%"
"FLRY3","Fleury","1.531.300","12,86","-1,46%"
"LJQQ3","Lojas Quero-Quero","1.529.200","2,54","+2,01%"
"AZZA3","Arezzo","1.525.800","41,06","+3,74%"
"ENJU3","Enjoei","1.520.700","1,13","-3,42%"
"AZEV3","Azevedo & Travassos","1.387.400","0,45","+0,00%"
"STBP3","Santos Brasil","1.370.000","13,77","-0,29%"
"ALUP11","Alupar","1.336.200","31,14","+1,86%"
"ELET6","Eletrobras","1.326.600","45,16","+1,78%"
"DASA3","Dasa","1.279.300","1,38","-1,43%"
"ISAE4","ISA Energia","1.263.100","23,23","+1,40%"
"GRND3","Grendene","1.242.100","5,38","-0,19%"
"TEND3","Construtora Tenda","1.177.100","24,08","+2,16%"
"SAPR4","Sanepar","1.172.200","7,42","+1,78%"
"PGMN3","Pague Menos","1.074.500","3,40","+0,89%"
"KEPL3","Kepler Weber","1.069.600","8,20","+1,23%"
"CAML3","Camil Alimentos","1.037.800","5,22","+3,78%"
"SAPR11","Sanepar","996.500","37,82","+2,63%"
"QUAL3","Qualicorp","977.800","1,81","+0,56%"
"HBOR3","Helbor","951.300","2,39","+1,27%"
"MDNE3","Moura Dubeux","914.900","23,45","+1,69%"
"ALPA4","Alpargatas","893.900","8,88","+2,66%"
"ODPV3","Odontoprev","889.400","11,58","-1,19%"
"GUAR3","Guararapes","864.400","8,76","+5,93%"
"JALL3","Jalles Machado","863.600","3,83","+0,79%"
"NEOE3","Neoenergia","804.900","25,95","+3,68%"
"RANI3","Irani","777.800","7,62","+3,11%"
"VTRU3","VITRUBREPCOM","775.900","9,24","+2,67%"
"BPAN4","Banco Pan","755.100","7,81","+1,43%"
"BRSR6","Banrisul","741.800","11,69","+0,86%"
"DXCO3","Dexco","738.400","5,72","+1,06%"
"TAEE11","Taesa","736.800","35,06","+1,62%"
"PLPL3","Plano&Plano","721.100","15,30","+1,66%"
"ONCO3","Oncoclínicas","688.800","4,70","-1,05%"
"FRAS3","Fras-le","673.100","27,70","+3,28%"
"TTEN3","3tentos","664.600","15,17","+2,43%"
"SEER3","Ser Educacional","634.600","9,49","+1,28%"
"VVEO3","Viveo","631.700","1,18","+0,85%"
"EZTC3","EZTEC","612.400","13,82","-0,14%"
"IRBR3","IRB Brasil RE","592.700","46,24","+2,26%"
"CSED3","Cruzeiro do Sul Educacional","573.600","5,07","+0,80%"
"KLBN3","Klabin","568.100","4,03","+3,33%"
"OPCT3","OceanPact","563.100","7,00","+3,70%"
"ITUB3","Itaú Unibanco","555.500","33,61","+2,44%"
"ABCB4","Banco ABC Brasil","530.300","21,75","-0,18%"
"VULC3","Vulcabras","504.900","21,70","+3,33%"
"MLAS3","Multilaser","500.200","1,06","+0,00%"
"MILS3","Mills","471.100","11,42","+1,96%"
"SYNE3","SYN","468.400","5,95","+1,71%"
"JSLG3","JSL","464.000","6,00","+4,71%"
"BLAU3","Blau Farmacêutica","458.700","12,71","+2,01%"
"POSI3","Positivo","456.800","4,61","+1,54%"
"WIZC3","Wiz Soluções","438.900","7,70","+4,76%"
"BMGB4","Banco BMG","435.500","3,70","+0,54%"
"BRST3","Brisanet","430.600","2,85","-3,06%"
"FESA4","Ferbasa","428.900","6,99","+1,01%"
"MYPK3","Iochpe-Maxion","427.100","13,37","+3,00%"
"ORVR3","Orizon","421.200","53,46","+2,06%"
"TRIS3","Trisul","419.100","7,04","+2,18%"
"PMAM3","Paranapanema","414.000","1,70","+4,29%"
"PRNR3","Priner","413.500","15,48","+2,11%"
"TUPY3","Tupy","407.100","18,16","+0,39%"
"BMOB3","Bemobi","386.700","21,67","+4,13%"
"EVEN3","Even","370.700","7,25","+0,69%"
"LAVV3","Lavvi Incorporadora","362.000","12,35","+1,81%"
"GFSA3","Gafisa","361.300","19,80","-1,54%"
"TFCO4","Track & Field","357.100","15,01","+0,74%"
"PFRM3","Profarma","355.900","8,38","-0,71%"
"USIM3","Usiminas","336.200","4,43","+2,78%"
"MDIA3","M. Dias Branco","324.900","24,06","+0,33%"
"TCSA3","Tecnisa","303.600","1,58","-1,25%"
"MTRE3","Mitre Realty","294.900","4,03","+2,54%"
"SAPR3","Sanepar","288.000","7,92","+2,59%"
"PINE4","Banco Pine","286.600","6,00","+0,17%"
"PNVL3","Dimed","273.800","9,61","+0,21%"
"HBRE3","HBR Realty","272.200","3,40","+2,41%"
"MEAL3","IMC Alimentação","267.200","1,20","+2,56%"
"LEVE3","Mahle Metal Leve","261.200","30,20","+1,68%"
"SHUL4","Schulz","259.700","5,29","+1,34%"
"MELK3","Melnick","257.100","3,39","+2,73%"
"ZAMP3","Zamp","237.700","3,45","-1,43%"
"TGMA3","Tegma","234.800","36,12","+2,70%"
"SOJA3","Boa Safra Sementes","227.100","11,56","+1,85%"
"CMIG3","Cemig","225.500","15,44","-0,32%"
"AERI3","Aeris Energy","214.200","4,42","-1,78%"
"PTBL3","Portobello","197.200","4,54","-0,66%"
"MATD3","Mater Dei","194.500","4,42","-1,78%"
"BRBI11","BR Partners","191.300","15,71","+1,42%"
"TASA4","Taurus","189.500","6,85","-0,87%"
"AALR3","Alliança","188.300","4,17","-4,58%"
"LOGG3","LOG CP","175.100","20,68","+2,12%"
"FIQE3","Unifique","173.500","3,85","+0,79%"
"WHRL4","Whirlpool","157.100","4,53","-3,41%"
"TECN3","Technos","155.600","6,79","-2,72%"
"UNIP6","Unipar","151.800","59,36","+2,59%"
"ESPA3","Espaçolaser","139.800","1,12","+1,82%"
"VITT3","Vittia","128.900","4,97","+1,64%"
"VLID3","Valid","128.300","25,14","+0,56%"
"ETER3","Eternit","118.900","4,07","+1,24%"
"DEXP3","Dexxos","109.000","9,42","+1,40%"
"DESK3","Desktop","105.500","9,39","+2,07%"
"AGRO3","BrasilAgro","104.900","20,40","+0,89%"
"AMBP3","Ambipar","100.400","163,50","+2,06%"
"ITSA3","Itaúsa","98.500","11,12","+2,68%"
"VIVR3","Viver","97.300","0,86","+0,00%"
"POMO3","Marcopolo","91.800","6,47","+0,31%"
"AMOB3","Automob","90.500","11,85","+3,22%"
"TAEE4","Taesa","90.300","11,63","+0,52%"
"AMAR3","Lojas Marisa","87.500","1,36","-0,73%"
"DMVF3","D1000 Varejo Farma","87.000","4,98","-0,20%"
"RCSL3","Recrusul","72.600","2,30","+0,00%"
"ROMI3","Indústrias ROMI","72.500","8,88","+0,91%"
"IGTI3","Iguatemi","68.200","2,83","+2,54%"
"IGTI3","Jereissati Participações","68.200","2,83","+2,54%"
"ALPK3","Estapar","65.200","3,32","-0,60%"
"RNEW4","Renova Energia","59.100","0,96","-1,03%"
"TAEE3","Taesa","57.400","11,59","+0,87%"
"EUCA4","Eucatex","49.900","18,90","-0,26%"
"LPSB3","Lopes","47.700","1,58","-0,63%"
"OIBR4","Oi","46.800","8,77","-0,23%"
